A_YEAR: Year of survey,B_COUNTRY: ISO 3166-1 numeric country code,N_REGION_ISO: Region ISO 3166-2,H_URBRURAL: Urban-Rural,S_INTLANGUAGE: Language in which interview was conducted,Q260: Sex,Q262: Age,X003R: Age recoded (6 intervals),Q272: Language at home,Q273: Marital status,Q275R: Highest educational level: Respondent (recoded into 3 groups),Q279: Employment status,Q287: Social class (subjective),Q289: Religious denominations - major groups,Counts
2023,India,IN-BR Bihar,Rural,Hindi,Female,16,16-24,Hindi,Single,Middle,Homemaker not otherwise employed,Upper middle class,Muslim,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,16,16-24,Hindi,Single,Middle,Student,Lower middle class,Hindu,4
2023,India,IN-BR Bihar,Rural,Hindi,Female,17,16-24,Hindi,Single,Higher,Unemployed,Lower class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,17,16-24,Hindi,Single,Middle,Full time (30 hours a week or more),Upper middle class,Muslim,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,17,16-24,Hindi,Single,Middle,Student,Lower middle class,Hindu,2
2023,India,IN-BR Bihar,Rural,Hindi,Female,17,16-24,"Punjabi, Panjabi",Single,Lower,Part time (less than 30 hours a week),Upper middle class,Buddhist,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,20,16-24,Hindi,Single,Higher,Student,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,20,16-24,Hindi,Single,Middle,Full time (30 hours a week or more),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,20,16-24,Hindi,Single,Middle,Student,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,21,16-24,Hindi,Married,Lower,Self employed,Working class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,21,16-24,Hindi,Single,Higher,Student,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,21,16-24,Hindi,Single,Middle,Student,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,22,16-24,Hindi,Married,Middle,Full time (30 hours a week or more),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,22,16-24,Hindi,Married,Middle,Homemaker not otherwise employed,Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,22,16-24,Hindi,Single,Higher,Student,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,24,16-24,Hindi,Single,Higher,Student,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,25,25-34,Hindi,Married,Higher,Full time (30 hours a week or more),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,27,25-34,Hindi,Married,Middle,Unemployed,Lower class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,29,25-34,Hindi,Married,Higher,Homemaker not otherwise employed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,29,25-34,Hindi,Single,Higher,Homemaker not otherwise employed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,30,25-34,Hindi,Married,Higher,Full time (30 hours a week or more),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,30,25-34,Hindi,Married,Middle,Part time (less than 30 hours a week),Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,31,25-34,Hindi,Married,Higher,Homemaker not otherwise employed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,34,25-34,Hindi,Married,Higher,Full time (30 hours a week or more),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,34,25-34,Hindi,Married,Lower,Full time (30 hours a week or more),Upper class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,34,25-34,Hindi,Married,Middle,Full time (30 hours a week or more),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,35,35-44,Hindi,Married,Higher,Self employed,Lower class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,37,35-44,Hindi,Married,Middle,Homemaker not otherwise employed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,39,35-44,Hindi,Married,Lower,Homemaker not otherwise employed,Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,39,35-44,Hindi,Married,Middle,Unemployed,Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,40,35-44,Hindi,Married,Lower,Full time (30 hours a week or more),Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,40,35-44,Hindi,Married,Lower,Homemaker not otherwise employed,Lower class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,40,35-44,Hindi,Married,Middle,Homemaker not otherwise employed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,41,35-44,Hindi,Married,Lower,Unemployed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,42,35-44,Hindi,Married,Higher,Self employed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,43,35-44,Hindi,Married,Middle,Unemployed,Working class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,46,45-54,Hindi,Married,Middle,Full time (30 hours a week or more),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,48,45-54,Hindi,Married,Lower,Don't know,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,48,45-54,Hindi,Married,Lower,Homemaker not otherwise employed,Working class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,48,45-54,Hindi,Married,Lower,Self employed,Lower class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,48,45-54,Hindi,Married,Middle,Part time (less than 30 hours a week),Working class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,50,45-54,Hindi,Married,Lower,Self employed,Working class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,51,45-54,Hindi,Married,Higher,Homemaker not otherwise employed,Upper middle class,Muslim,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,51,45-54,Hindi,Married,Higher,Other,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,51,45-54,Hindi,Married,Middle,Self employed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,53,45-54,Hindi,Married,Lower,Unemployed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,53,45-54,Hindi,Married,Middle,Homemaker not otherwise employed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,54,45-54,Hindi,Married,Middle,Homemaker not otherwise employed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,55,55-64,Hindi,Married,Lower,Homemaker not otherwise employed,Lower middle class,Hindu,2
2023,India,IN-BR Bihar,Rural,Hindi,Female,57,55-64,Hindi,Married,Middle,Self employed,Lower middle class,Muslim,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,58,55-64,Hindi,Married,Lower,Homemaker not otherwise employed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,58,55-64,Hindi,Married,Lower,Part time (less than 30 hours a week),Lower class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,59,55-64,Hindi,Married,Middle,Full time (30 hours a week or more),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,59,55-64,Hindi,Widowed,Lower,Homemaker not otherwise employed,Working class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,61,55-64,Hindi,Married,Middle,Unemployed,Working class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,63,55-64,Hindi,Married,Lower,Homemaker not otherwise employed,Upper middle class,Muslim,1
2023,India,IN-BR Bihar,Rural,Hindi,Female,65,65 and more years,Hindi,Married,Lower,Homemaker not otherwise employed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,16,16-24,Hindi,Single,Middle,Full time (30 hours a week or more),Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,16,16-24,Hindi,Single,Middle,Self employed,Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,16,16-24,Hindi,Single,Middle,Student,Lower class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,16,16-24,Hindi,Single,Middle,Student,Lower middle class,Hindu,4
2023,India,IN-BR Bihar,Rural,Hindi,Male,16,16-24,Hindi,Single,Middle,Student,Upper class,Muslim,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,16,16-24,Hindi,Single,Middle,Student,Working class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,17,16-24,Hindi,Single,Higher,Part time (less than 30 hours a week),Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,17,16-24,Hindi,Single,Lower,Unemployed,Working class,Muslim,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,17,16-24,Hindi,Single,Middle,Full time (30 hours a week or more),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,17,16-24,Hindi,Single,Middle,Full time (30 hours a week or more),Upper middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,17,16-24,Hindi,Single,Middle,Part time (less than 30 hours a week),Lower middle class,Hindu,1
2023,India,IN-BR Bihar,Rural,Hindi,Male,17,16-24,Hindi,Single,Middle,Student,Lower middle class,Hindu,4
2023,India,IN-BR Bihar,Rural,Hindi,Male,17,16-24,Hindi,Single,Middle,Student,Upper middle class,Hindu,2
2023,India,IN-BR Bihar,Rural,Hindi,Male,17,16-24,Hindi,Single,Middle,Student,Working class,Hindu,1
