language,marital_status,gender,urban_rural,region,age,education_level,social_class,Q106,Q107,Q108,Q110,Q150,Q151,Q158,Q159,Q160,Q161,Q162,Q176,Q177,Q178,Q179,Q180,Q181,Q184,Q185,Q187,Q188,Q189,Q190,Q191,Q192,Q194,Q195,Q224,Q225,Q227,Q228,Q229,Q230,Q231,Q232,Q233,Q234,Q235,Q236,Q238,Q239,Q241,Q242,Q244,Q247,Q248,Q33,Q34,Q35,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q64,Q66,Q67,Q68,Q72,Q73,Q74,Q75,Q77,Q78,Q79,Q80,Q81,Q82,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q90
Hindi,Single,Female,Rural,IN-DL Delhi,16-24,Middle,Upper middle class,Invalid answer,Invalid answer,People should take more responsibility to provide for themselves,"In the long run, hard work usually brings a better life",Freedom,No,Invalid answer,Invalid answer,Completely agree,Completely agree,Completely disagree,Invalid answer,Never justifiable,Always justifiable,Never justifiable,Never justifiable,Always justifiable,Never justifiable,Never justifiable,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Never justifiable,Never justifiable,Always justifiable,Always justifiable,Not often,Not often,Fairly often,Fairly often,Fairly often,Fairly often,Very often,Very often,Fairly often,Rather important,Fairly good,Very good,Fairly good,Fairly good,Invalid answer,Invalid answer,Invalid answer,An essential characteristic of democracy,An essential characteristic of democracy,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree strongly,Agree,Our society must be gradually improved by reforms,Don't mind,Bad thing,Bad thing,Not very much,None at all,A great deal,Not very much,Quite a lot,Quite a lot,Quite a lot,Not very much,Not very much,Not very much,Quite a lot,Not very much,Quite a lot,Quite a lot,Quite a lot,Not very much,Not very much,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Invalid answer
Hindi,Single,Female,Urban,IN-DL Delhi,16-24,Middle,Lower middle class,Invalid answer,Invalid answer,People should take more responsibility to provide for themselves,Invalid answer,Freedom,No,Invalid answer,Invalid answer,Completely agree,Completely agree,Completely disagree,Invalid answer,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Always justifiable,Always justifiable,Always justifiable,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Never justifiable,Never justifiable,Never justifiable,Always justifiable,Not often,Fairly often,Fairly often,Fairly often,Not often,Fairly often,Very often,Very often,Fairly often,Rather important,Fairly good,Very good,Fairly good,Fairly good,Invalid answer,Invalid answer,Invalid answer,An essential characteristic of democracy,Not an essential characteristic of democracy,Agree,Disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Disagree,Our present society must be valiantly defended against all subversive forces,Don't mind,Bad thing,Bad thing,Not very much,None at all,Quite a lot,Not very much,Quite a lot,Quite a lot,Quite a lot,Not very much,Quite a lot,Not very much,Quite a lot,A great deal,Quite a lot,Quite a lot,Quite a lot,None at all,Not very much,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Invalid answer
Hindi,Single,Female,Urban,IN-DL Delhi,16-24,Middle,Upper middle class,Invalid answer,Invalid answer,Invalid answer,Hard work doesn't generally bring success—it's more a matter of luck and connections,Freedom,No,Invalid answer,Invalid answer,Completely agree,Completely agree,Completely disagree,Invalid answer,Always justifiable,Always justifiable,Never justifiable,Never justifiable,Always justifiable,Never justifiable,Never justifiable,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Never justifiable,Never justifiable,Never justifiable,Always justifiable,Not often,Not often,Fairly often,Fairly often,Fairly often,Fairly often,Very often,Very often,Fairly often,Rather important,Fairly good,Fairly good,Fairly good,Fairly good,Invalid answer,Invalid answer,Invalid answer,An essential characteristic of democracy,An essential characteristic of democracy,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree strongly,Agree,Our present society must be valiantly defended against all subversive forces,Bad thing,Bad thing,Bad thing,Not very much,None at all,A great deal,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Not very much,Not very much,Not very much,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Not very much,Not very much,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Invalid answer
Hindi,Married,Female,Urban,IN-DL Delhi,25-34,Higher,Upper middle class,Invalid answer,Invalid answer,Invalid answer,Hard work doesn't generally bring success—it's more a matter of luck and connections,Freedom,No,Invalid answer,Invalid answer,Completely agree,Completely agree,Completely disagree,Invalid answer,Always justifiable,Always justifiable,Never justifiable,Never justifiable,Always justifiable,Never justifiable,Always justifiable,Always justifiable,Always justifiable,Never justifiable,Never justifiable,Always justifiable,Always justifiable,Always justifiable,Always justifiable,Fairly often,Not often,Fairly often,Fairly often,Fairly often,Fairly often,Very often,Fairly often,Fairly often,Rather important,Fairly good,Fairly good,Fairly good,Fairly good,Invalid answer,Not an essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree strongly,Agree,Our present society must be valiantly defended against all subversive forces,Bad thing,Bad thing,Bad thing,Not very much,Quite a lot,A great deal,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Not very much,Quite a lot,A great deal,Quite a lot,A great deal,Quite a lot,Quite a lot,Quite a lot,Not very much,Quite a lot,Quite a lot,A great deal,Not very much,Invalid answer
Hindi,Single,Male,Urban,IN-DL Delhi,16-24,Higher,Lower middle class,Invalid answer,Invalid answer,People should take more responsibility to provide for themselves,"In the long run, hard work usually brings a better life",Freedom,No,Invalid answer,Invalid answer,Completely agree,Completely agree,Completely disagree,Invalid answer,Always justifiable,Always justifiable,Never justifiable,Never justifiable,Always justifiable,Never justifiable,Never justifiable,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Always justifiable,Never justifiable,Never justifiable,Always justifiable,Not often,Not often,Fairly often,Fairly often,Fairly often,No answer,No answer,Very often,Fairly often,Rather important,Fairly good,Very good,Fairly good,Fairly good,Invalid answer,Invalid answer,Invalid answer,An essential characteristic of democracy,An essential characteristic of democracy,Agree,Disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,Our present society must be valiantly defended against all subversive forces,Good thing,Bad thing,Bad thing,Not very much,None at all,A great deal,Not very much,Quite a lot,Quite a lot,Quite a lot,Not very much,Quite a lot,Not very much,Quite a lot,Not very much,Quite a lot,Quite a lot,Quite a lot,Not very much,Not very much,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Invalid answer
Hindi,Single,Male,Urban,IN-DL Delhi,16-24,Middle,Lower middle class,Invalid answer,Invalid answer,People should take more responsibility to provide for themselves,"In the long run, hard work usually brings a better life",Freedom,No,Invalid answer,Invalid answer,Completely agree,Completely agree,Completely agree,Invalid answer,Always justifiable,Always justifiable,Never justifiable,Never justifiable,Always justifiable,Always justifiable,Always justifiable,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Always justifiable,Always justifiable,Always justifiable,Always justifiable,Not often,Fairly often,Fairly often,Fairly often,Fairly often,Fairly often,Very often,Very often,Fairly often,Rather important,Fairly bad,Fairly good,Fairly good,Fairly good,Invalid answer,Invalid answer,An essential characteristic of democracy,An essential characteristic of democracy,Not an essential characteristic of democracy,Agree,Disagree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Disagree,Our present society must be valiantly defended against all subversive forces,Don't mind,Bad thing,Bad thing,Not very much,None at all,Quite a lot,Not very much,Quite a lot,Quite a lot,Quite a lot,Not very much,Quite a lot,Not very much,Quite a lot,A great deal,Quite a lot,Quite a lot,Quite a lot,None at all,Not very much,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Invalid answer
Hindi,Single,Male,Urban,IN-DL Delhi,16-24,Middle,Upper middle class,Invalid answer,Invalid answer,Invalid answer,"In the long run, hard work usually brings a better life",Freedom,No,Invalid answer,Invalid answer,Completely agree,Completely agree,Completely disagree,Invalid answer,Always justifiable,Always justifiable,Never justifiable,Never justifiable,Always justifiable,Never justifiable,Never justifiable,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Never justifiable,Always justifiable,Always justifiable,Always justifiable,Not often,Not often,Fairly often,Fairly often,Fairly often,Fairly often,Very often,Fairly often,Fairly often,Rather important,Fairly good,Fairly good,Fairly good,Fairly good,Invalid answer,Invalid answer,Invalid answer,An essential characteristic of democracy,An essential characteristic of democracy,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree strongly,Agree,Our present society must be valiantly defended against all subversive forces,Good thing,Bad thing,Bad thing,Not very much,None at all,A great deal,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Not very much,Not very much,Quite a lot,A great deal,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Not very much,Not very much,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Invalid answer
Hindi,Single,Male,Urban,IN-DL Delhi,16-24,Middle,Working class,Invalid answer,Invalid answer,People should take more responsibility to provide for themselves,"In the long run, hard work usually brings a better life",Freedom,No,Invalid answer,Invalid answer,Completely agree,Completely agree,Completely agree,Invalid answer,Always justifiable,Always justifiable,Never justifiable,Never justifiable,Always justifiable,Always justifiable,Always justifiable,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Never justifiable,Always justifiable,Always justifiable,Always justifiable,Not often,Fairly often,Not often,Fairly often,Not often,Fairly often,Very often,Very often,Fairly often,Rather important,Fairly bad,Fairly good,Fairly good,Fairly good,Invalid answer,Invalid answer,Invalid answer,An essential characteristic of democracy,An essential characteristic of democracy,Agree,Disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree strongly,Agree,Our society must be gradually improved by reforms,Good thing,Bad thing,Bad thing,Not very much,None at all,A great deal,Not very much,Quite a lot,Quite a lot,Not very much,Not very much,Quite a lot,Not very much,Quite a lot,A great deal,Quite a lot,Quite a lot,Quite a lot,None at all,Not very much,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Invalid answer
Hindi,Living together as married,Male,Urban,IN-DL Delhi,35-44,Middle,Lower middle class,Invalid answer,Invalid answer,People should take more responsibility to provide for themselves,Invalid answer,Freedom,No,Invalid answer,Invalid answer,Completely agree,Completely agree,Completely disagree,Invalid answer,Always justifiable,Always justifiable,Never justifiable,Never justifiable,Always justifiable,Never justifiable,Never justifiable,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Never justifiable,Always justifiable,Always justifiable,Always justifiable,Not often,Fairly often,Not often,Fairly often,Fairly often,No answer,No answer,Very often,Fairly often,Rather important,Fairly bad,Fairly good,Fairly good,Fairly good,Invalid answer,Invalid answer,Invalid answer,An essential characteristic of democracy,Invalid answer,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Our present society must be valiantly defended against all subversive forces,Bad thing,Bad thing,Bad thing,Not very much,None at all,Quite a lot,Not very much,Quite a lot,Quite a lot,Quite a lot,Not very much,Quite a lot,Not very much,Quite a lot,Not very much,Quite a lot,Quite a lot,Quite a lot,None at all,Not very much,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Invalid answer
Hindi,Married,Male,Urban,IN-DL Delhi,35-44,Middle,Lower middle class,Invalid answer,Invalid answer,People should take more responsibility to provide for themselves,Invalid answer,Freedom,No,Invalid answer,Invalid answer,Completely agree,Completely agree,Completely agree,Invalid answer,Always justifiable,Always justifiable,Never justifiable,Never justifiable,Always justifiable,Never justifiable,Always justifiable,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Always justifiable,Always justifiable,Always justifiable,Always justifiable,Not often,Very often,Very often,Fairly often,Fairly often,No answer,No answer,Very often,Fairly often,Rather important,Fairly bad,Fairly good,Fairly good,Fairly good,Invalid answer,Invalid answer,Invalid answer,An essential characteristic of democracy,Invalid answer,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree strongly,Our present society must be valiantly defended against all subversive forces,Bad thing,Bad thing,Bad thing,Not very much,None at all,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Not very much,Quite a lot,Not very much,Quite a lot,Not very much,Quite a lot,Quite a lot,Quite a lot,Not very much,Not very much,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Invalid answer
