language,marital_status,gender,urban_rural,region,age,education_level,social_class,Q106,Q107,Q108,Q110,Q151,Q158,Q159,Q160,Q164,Q18,Q19,Q2,Q20,Q21,Q22,Q23,Q24,Q26,Q27,Q29,Q3,Q30,Q31,Q32,Q4,Q43,Q44,Q45,Q5,Q58,Q59,Q6,Q60,Q61,Q62,Q63,Q64,Q66,Q67,Q68,Q72,Q73,Q74,Q77,Q79,Q80,Q81,Q82,Q83
Hindi,Single,Female,Rural,IN-DL Delhi,16-24,Middle,Upper middle class,Invalid answer,Invalid answer,Government should take more responsibility to ensure that everyone is provided for,Hard work doesn't generally bring success—it's more a matter of luck and connections,No,Invalid answer,Invalid answer,Completely agree,Invalid answer,Don't know,Important,Rather important,Don't know,Not mentioned,Don't know,Not mentioned,Not mentioned,Don't know,Agree,Disagree,Rather important,Agree,Agree,Agree strongly,Rather important,Don't mind,Bad thing,Bad thing,Rather important,Trust somewhat,Trust completely,Rather important,Trust somewhat,Do not trust very much,Trust somewhat,Trust somewhat,A great deal,None at all,Quite a lot,Not very much,Quite a lot,Not very much,Not very much,Not very much,Quite a lot,Quite a lot,Not very much,Not very much,Quite a lot
Hindi,Single,Female,Urban,IN-DL Delhi,16-24,Middle,Lower middle class,Invalid answer,Invalid answer,Government should take more responsibility to ensure that everyone is provided for,Hard work doesn't generally bring success—it's more a matter of luck and connections,No,Invalid answer,Invalid answer,Completely agree,Invalid answer,Don't know,Important,Rather important,Don't know,Not mentioned,Don't know,Not mentioned,Not mentioned,Not mentioned,Agree,Disagree,Rather important,Agree,Agree,Agree strongly,Not at all important,Don't mind,Bad thing,Bad thing,Rather important,Trust somewhat,Do not trust very much,Rather important,Trust somewhat,Do not trust very much,Do not trust very much,Trust somewhat,A great deal,None at all,Quite a lot,Not very much,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Not very much,Not very much,Quite a lot,Quite a lot
Hindi,Single,Female,Urban,IN-DL Delhi,16-24,Middle,Upper middle class,Invalid answer,Invalid answer,Government should take more responsibility to ensure that everyone is provided for,Hard work doesn't generally bring success—it's more a matter of luck and connections,No,Invalid answer,Invalid answer,Completely agree,Invalid answer,Don't know,Important,Rather important,Don't know,Not mentioned,Don't know,Not mentioned,Not mentioned,Don't know,Agree,Disagree,Rather important,Agree,Agree,Agree strongly,Rather important,Don't mind,Bad thing,Bad thing,Rather important,Trust somewhat,Trust completely,Rather important,Trust completely,Do not trust very much,Trust somewhat,Trust somewhat,A great deal,None at all,A great deal,Quite a lot,Quite a lot,Not very much,Not very much,Not very much,Quite a lot,Quite a lot,Not very much,Not very much,Quite a lot
Hindi,Married,Female,Urban,IN-DL Delhi,25-34,Higher,Upper middle class,Invalid answer,Invalid answer,Government should take more responsibility to ensure that everyone is provided for,"In the long run, hard work usually brings a better life",No,Invalid answer,Invalid answer,Completely agree,Invalid answer,Don't know,Important,Rather important,Not mentioned,Not mentioned,Don't know,Not mentioned,Not mentioned,Not mentioned,Agree,Disagree,Rather important,Agree,Agree,Agree,Rather important,Don't mind,Bad thing,Bad thing,Rather important,Trust somewhat,Trust completely,Rather important,Trust completely,Do not trust very much,Trust somewhat,Trust somewhat,A great deal,None at all,A great deal,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Not very much,Quite a lot,Quite a lot,Quite a lot,Not very much,Quite a lot
Hindi,Single,Male,Urban,IN-DL Delhi,16-24,Higher,Lower middle class,Invalid answer,Invalid answer,Invalid answer,Hard work doesn't generally bring success—it's more a matter of luck and connections,No,Invalid answer,Invalid answer,Completely agree,Invalid answer,Don't know,Important,Rather important,Don't know,Not mentioned,Don't know,Not mentioned,Not mentioned,Not mentioned,Agree,Disagree,Rather important,Agree,Agree,Agree strongly,Rather important,Don't mind,Bad thing,Bad thing,Rather important,Trust somewhat,Do not trust very much,Rather important,Trust somewhat,Do not trust very much,Trust somewhat,Trust somewhat,A great deal,None at all,A great deal,Not very much,Quite a lot,Quite a lot,Quite a lot,Not very much,Quite a lot,Quite a lot,Not very much,Not very much,Quite a lot
Hindi,Single,Male,Urban,IN-DL Delhi,16-24,Middle,Lower middle class,Invalid answer,Invalid answer,Invalid answer,Hard work doesn't generally bring success—it's more a matter of luck and connections,No,Invalid answer,Invalid answer,Completely agree,Invalid answer,Don't know,Important,Rather important,Don't know,Not mentioned,Don't know,Not mentioned,Not mentioned,Not mentioned,Agree,Disagree,Rather important,Agree,Agree strongly,Agree,Not at all important,Don't mind,Bad thing,Bad thing,Rather important,Trust somewhat,Do not trust very much,Rather important,Trust somewhat,Do not trust very much,Do not trust very much,Do not trust very much,A great deal,None at all,Quite a lot,Not very much,Quite a lot,Quite a lot,Quite a lot,Not very much,Quite a lot,Not very much,Not very much,Quite a lot,Quite a lot
Hindi,Single,Male,Urban,IN-DL Delhi,16-24,Middle,Upper middle class,Invalid answer,Invalid answer,Invalid answer,"In the long run, hard work usually brings a better life",No,Invalid answer,Invalid answer,Completely agree,Invalid answer,Don't know,Important,Rather important,Don't know,Not mentioned,Don't know,Not mentioned,Not mentioned,Not mentioned,Agree,Disagree,Rather important,Agree,Agree strongly,Agree,Rather important,Don't mind,Bad thing,Bad thing,Rather important,Trust somewhat,Trust completely,Rather important,Trust somewhat,Do not trust very much,Trust somewhat,Trust somewhat,A great deal,None at all,A great deal,Quite a lot,Quite a lot,Not very much,Quite a lot,Not very much,Not very much,Quite a lot,Not very much,Not very much,Quite a lot
Hindi,Single,Male,Urban,IN-DL Delhi,16-24,Middle,Working class,Invalid answer,Invalid answer,Government should take more responsibility to ensure that everyone is provided for,"In the long run, hard work usually brings a better life",No,Invalid answer,Invalid answer,Completely agree,Invalid answer,Don't know,Important,Rather important,Don't know,Not mentioned,Don't know,Not mentioned,Not mentioned,Not mentioned,Disagree,Agree,Rather important,Disagree,Agree,Agree,Not at all important,Don't mind,Bad thing,Bad thing,Rather important,Trust somewhat,Do not trust very much,Rather important,Trust somewhat,Do not trust very much,Do not trust very much,Trust somewhat,A great deal,None at all,A great deal,Not very much,Quite a lot,Quite a lot,Not very much,Not very much,Quite a lot,Not very much,Not very much,Quite a lot,Quite a lot
Hindi,Living together as married,Male,Urban,IN-DL Delhi,35-44,Middle,Lower middle class,Invalid answer,Invalid answer,Government should take more responsibility to ensure that everyone is provided for,"In the long run, hard work usually brings a better life",No,Invalid answer,Invalid answer,Completely agree,Invalid answer,Don't know,Important,Rather important,Not mentioned,Not mentioned,Don't know,Not mentioned,Not mentioned,Don't know,Disagree,Agree,Rather important,Agree,Agree,Agree,Not at all important,Bad thing,Bad thing,Bad thing,Rather important,Trust somewhat,Do not trust very much,Rather important,Trust somewhat,Do not trust very much,Trust somewhat,Trust somewhat,A great deal,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Not very much,Quite a lot,Quite a lot
Hindi,Married,Male,Urban,IN-DL Delhi,35-44,Middle,Lower middle class,Invalid answer,Invalid answer,Government should take more responsibility to ensure that everyone is provided for,"In the long run, hard work usually brings a better life",No,Invalid answer,Invalid answer,Completely agree,Invalid answer,Don't know,Important,Rather important,Not mentioned,Not mentioned,Don't know,Not mentioned,Not mentioned,Not mentioned,Disagree,Disagree,Rather important,Agree,Agree strongly,Agree,Not at all important,Bad thing,Bad thing,Bad thing,Rather important,Trust somewhat,Do not trust very much,Rather important,Trust somewhat,Do not trust very much,Trust somewhat,Trust somewhat,A great deal,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Not very much,Quite a lot,Quite a lot,Not very much,Quite a lot,Quite a lot
Hindi,Married,Male,Urban,IN-DL Delhi,55-64,Middle,Lower middle class,Invalid answer,Invalid answer,Invalid answer,Hard work doesn't generally bring success—it's more a matter of luck and connections,No,Invalid answer,Invalid answer,Completely agree,Invalid answer,Don't know,Don't know,Rather important,Don't know,Not mentioned,Don't know,Not mentioned,Not mentioned,Not mentioned,Disagree,Disagree,Rather important,Agree,Agree strongly,Agree,Not at all important,Don't mind,Bad thing,Bad thing,Rather important,Trust somewhat,Do not trust very much,Rather important,Trust somewhat,Do not trust very much,Trust somewhat,Trust somewhat,A great deal,None at all,Quite a lot,Not very much,Quite a lot,Quite a lot,Quite a lot,Not very much,Quite a lot,Not very much,Not very much,Quite a lot,Quite a lot
