language,marital_status,gender,urban_rural,region,age,education_level,social_class,Q2,Q3,Q4,Q5,Q6,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q58,Q59,Q60,Q61,Q62,Q63,Q64,Q66,Q67,Q68,Q72,Q73,Q74,Q75,Q77,Q78,Q79,Q80,Q81,Q82,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q90,Q106,Q107,Q108,Q110,Q112,Q120,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129,Q142,Q143,Q149,Q150,Q151,Q158,Q159,Q160,Q161,Q162,Q164,Q166,Q167,Q168,Q176,Q177,Q178,Q179,Q180,Q181,Q184,Q185,Q187,Q188,Q189,Q190,Q191,Q192,Q194,Q195,Q224,Q225,Q227,Q228,Q229,Q230,Q231,Q232,Q233,Q234,Q235,Q236,Q238,Q239,Q241,Q242,Q244,Q247,Q248
Hindi,Single,Female,Rural,IN-BR Bihar,16-24,Higher,Lower middle class,Rather important,Very important,Not at all important,Very important,Rather important,Don't know,Not mentioned,Don't know,Not mentioned,Don't know,Don't know,Don't know,Important,Agree,Strongly disagree,Agree,Disagree,Disagree,Agree,Disagree strongly,Disagree,Agree,Agree strongly,Agree,Agree strongly,Agree,Agree strongly,Our present society must be valiantly defended against all subversive forces,Bad thing,Good thing,Don't mind,Do not trust at all,Do not trust at all,Trust completely,Trust somewhat,Do not trust very much,Do not trust very much,Quite a lot,Not very much,Quite a lot,Not very much,None at all,Quite a lot,None at all,Quite a lot,Not very much,Quite a lot,A great deal,Quite a lot,Not very much,Not very much,Quite a lot,Not very much,None at all,Quite a lot,A great deal,Quite a lot,Not very much,Invalid answer,Incomes should be made more equal,Government ownership of business and industry should be increased,Government should take more responsibility to ensure that everyone is provided for,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Disagree,Hard to say,Hard to say,A good deal,Very much,Equality,Freedom,No,Invalid answer,Invalid answer,Completely agree,Invalid answer,Completely disagree,Invalid answer,Yes,Yes,Yes,Invalid answer,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Never justifiable,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Not often,Fairly often,Fairly often,Not often,Fairly often,Very often,Fairly often,Not often,Very often,Rather important,Very bad,Fairly good,Fairly good,Very bad,An essential characteristic of democracy,Not an essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Invalid answer
Hindi,Single,Female,Rural,IN-BR Bihar,16-24,Middle,Lower middle class,Rather important,Very important,Not at all important,Very important,Rather important,Don't know,Not mentioned,Don't know,Not mentioned,Don't know,Don't know,Don't know,Important,Agree,Strongly disagree,Agree,Disagree,Disagree,Agree,Disagree strongly,Disagree,Agree,Agree strongly,Agree,Agree strongly,Agree,Agree strongly,Our present society must be valiantly defended against all subversive forces,Bad thing,Good thing,Don't mind,Do not trust at all,Do not trust at all,Trust completely,Trust somewhat,Do not trust at all,Do not trust at all,Quite a lot,Not very much,Quite a lot,Not very much,None at all,Quite a lot,None at all,Quite a lot,Not very much,Quite a lot,A great deal,Quite a lot,Not very much,Not very much,Quite a lot,Not very much,None at all,None at all,Quite a lot,A great deal,Not very much,Invalid answer,Incomes should be made more equal,Government ownership of business and industry should be increased,Government should take more responsibility to ensure that everyone is provided for,"In the long run, hard work usually brings a better life",No answer,No answer,No answer,No answer,No answer,No answer,No answer,Disagree,Hard to say,Agree,A good deal,Very much,Equality,Freedom,No,Invalid answer,Invalid answer,Completely agree,Invalid answer,Completely disagree,Invalid answer,Yes,Yes,Yes,Invalid answer,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Never justifiable,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Not often,Fairly often,Fairly often,Not often,Fairly often,Very often,Fairly often,Not often,Not at all often,Not at all important,Fairly good,Fairly good,Fairly bad,Very bad,An essential characteristic of democracy,Not an essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Invalid answer
Hindi,Married,Female,Rural,IN-BR Bihar,25-34,Higher,Lower middle class,Rather important,Very important,Not at all important,Very important,Rather important,Don't know,Not mentioned,Don't know,Not mentioned,Don't know,Don't know,Don't know,Important,Agree,Strongly disagree,Agree,Disagree,Disagree,Agree,Disagree strongly,Disagree,Agree,Agree strongly,Agree,Agree strongly,Agree,Agree strongly,Our present society must be valiantly defended against all subversive forces,Bad thing,Good thing,Don't mind,Do not trust at all,Trust somewhat,Trust completely,Trust somewhat,Trust completely,No answer,No answer,No answer,No answer,Not very much,Quite a lot,Quite a lot,Quite a lot,A great deal,Quite a lot,Quite a lot,A great deal,Quite a lot,Not very much,Not very much,Quite a lot,Not very much,None at all,Quite a lot,A great deal,Quite a lot,Not very much,Invalid answer,Incomes should be made more equal,Government ownership of business and industry should be increased,Government should take more responsibility to ensure that everyone is provided for,"In the long run, hard work usually brings a better life",No answer,No answer,No answer,No answer,No answer,No answer,No answer,Disagree,Hard to say,Hard to say,A good deal,Very much,Equality,Freedom,No,Invalid answer,Invalid answer,Completely agree,Completely disagree,Completely disagree,Very important,Yes,Yes,Yes,Invalid answer,Always justifiable,Always justifiable,Never justifiable,Never justifiable,Never justifiable,Always justifiable,Always justifiable,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Fairly often,Not often,Fairly often,Fairly often,Fairly often,Not often,Fairly often,Not often,Fairly often,Rather important,Very bad,Fairly good,Very good,Very bad,An essential characteristic of democracy,Not an essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Invalid answer
Hindi,Married,Female,Rural,IN-BR Bihar,45-54,Middle,Lower middle class,Rather important,Very important,Not at all important,Very important,Rather important,Don't know,Not mentioned,Don't know,Not mentioned,Don't know,Don't know,Don't know,Important,Agree,Strongly disagree,Agree,Agree,Agree,Agree strongly,Disagree strongly,Disagree,Agree,Agree strongly,Neither agree nor disagree,Agree,Agree strongly,Agree,Our society must be gradually improved by reforms,Don't mind,Bad thing,Don't mind,Do not trust at all,Do not trust at all,Trust completely,Trust somewhat,Do not trust very much,Do not trust very much,Quite a lot,Not very much,Quite a lot,Not very much,Quite a lot,Quite a lot,Quite a lot,A great deal,Quite a lot,Quite a lot,A great deal,Quite a lot,Not very much,Not very much,Quite a lot,Not very much,None at all,Quite a lot,A great deal,Quite a lot,Not very much,Invalid answer,Incomes should be made more equal,Government ownership of business and industry should be increased,Government should take more responsibility to ensure that everyone is provided for,"In the long run, hard work usually brings a better life",No answer,No answer,No answer,No answer,No answer,No answer,No answer,Disagree,Hard to say,Hard to say,A good deal,Very much,Equality,Freedom,No,Invalid answer,Invalid answer,Completely agree,Completely disagree,Completely disagree,Very important,Yes,Yes,Yes,Invalid answer,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Never justifiable,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Not often,Fairly often,Fairly often,Not often,Fairly often,Very often,Fairly often,Not often,Fairly often,Rather important,Very bad,Fairly good,Fairly good,Very bad,An essential characteristic of democracy,Not an essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Invalid answer
Hindi,Single,Male,Rural,IN-BR Bihar,16-24,Middle,Lower middle class,Rather important,Very important,Not at all important,Very important,Rather important,Don't know,Not mentioned,Don't know,Not mentioned,Don't know,Don't know,Don't know,Important,Agree,Strongly disagree,Agree,Agree,Agree,Agree strongly,Disagree strongly,Disagree,Agree,Agree strongly,Agree,Agree strongly,Agree,Agree strongly,Our present society must be valiantly defended against all subversive forces,Bad thing,Good thing,Don't mind,Do not trust at all,Do not trust at all,Trust completely,Trust somewhat,Do not trust at all,Do not trust at all,Quite a lot,Not very much,Quite a lot,Not very much,None at all,Quite a lot,None at all,Quite a lot,A great deal,Quite a lot,Not very much,Quite a lot,Not very much,Not very much,Quite a lot,Not very much,None at all,Quite a lot,A great deal,Quite a lot,Not very much,Invalid answer,Incomes should be made more equal,Government ownership of business and industry should be increased,Government should take more responsibility to ensure that everyone is provided for,"In the long run, hard work usually brings a better life",No answer,No answer,No answer,No answer,No answer,No answer,No answer,Disagree,Hard to say,Agree,A good deal,Very much,Freedom,Security,No,Invalid answer,Invalid answer,Completely agree,Invalid answer,Completely disagree,Invalid answer,Yes,Yes,Yes,Invalid answer,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Always justifiable,Always justifiable,Always justifiable,Never justifiable,Not often,Fairly often,Fairly often,Very often,Fairly often,Fairly often,Fairly often,Not often,Not at all often,Not at all important,Fairly good,Fairly good,Fairly bad,Very bad,An essential characteristic of democracy,Not an essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Invalid answer
Hindi,Single,Male,Rural,IN-BR Bihar,16-24,Middle,Upper middle class,Rather important,Very important,Not at all important,Very important,Rather important,Don't know,Not mentioned,Don't know,Not mentioned,Don't know,Don't know,Don't know,Important,Agree,Strongly disagree,Agree,Agree,Agree,Agree strongly,Disagree strongly,Disagree,Agree,Agree strongly,Agree,Agree strongly,Agree,Agree strongly,Our present society must be valiantly defended against all subversive forces,Bad thing,Good thing,Don't mind,Don't know,Do not trust at all,Trust somewhat,Trust completely,Do not trust at all,Do not trust at all,Quite a lot,Not very much,Quite a lot,Not very much,Quite a lot,Quite a lot,Quite a lot,A great deal,Not very much,Quite a lot,A great deal,Quite a lot,Not very much,Not very much,Quite a lot,Not very much,None at all,Quite a lot,A great deal,Quite a lot,Not very much,Invalid answer,Incomes should be made more equal,Government ownership of business and industry should be increased,Government should take more responsibility to ensure that everyone is provided for,"In the long run, hard work usually brings a better life",No answer,No answer,No answer,No answer,No answer,No answer,No answer,Disagree,Hard to say,Hard to say,A good deal,Very much,Freedom,Security,Yes,Invalid answer,Invalid answer,Completely agree,Invalid answer,Completely disagree,Invalid answer,Yes,Yes,Yes,Invalid answer,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Always justifiable,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Always justifiable,Always justifiable,Always justifiable,Always justifiable,Always justifiable,Never justifiable,Not often,Fairly often,Fairly often,Very often,Fairly often,Fairly often,Fairly often,Not often,Not at all often,Not at all important,Fairly good,Fairly good,Fairly bad,Very bad,An essential characteristic of democracy,Not an essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Invalid answer
Hindi,Married,Male,Rural,IN-BR Bihar,25-34,Higher,Lower middle class,Rather important,Very important,Not at all important,Very important,Rather important,Don't know,Not mentioned,Don't know,Not mentioned,Don't know,Don't know,Don't know,Important,Agree,Strongly disagree,Agree,Agree,Agree,Agree strongly,Disagree strongly,Disagree,Agree,Agree strongly,Agree,Agree strongly,Agree,Agree strongly,Our present society must be valiantly defended against all subversive forces,Bad thing,Good thing,Don't mind,Do not trust at all,Trust somewhat,Trust completely,Trust somewhat,Trust completely,No answer,No answer,No answer,No answer,Not very much,Quite a lot,Quite a lot,Quite a lot,A great deal,Quite a lot,Quite a lot,A great deal,Quite a lot,Not very much,Not very much,Quite a lot,Not very much,None at all,Quite a lot,A great deal,Quite a lot,Not very much,Invalid answer,Incomes should be made more equal,Government ownership of business and industry should be increased,Government should take more responsibility to ensure that everyone is provided for,"In the long run, hard work usually brings a better life",No answer,No answer,No answer,No answer,No answer,No answer,No answer,Disagree,Hard to say,Hard to say,A good deal,Very much,Freedom,Security,Yes,Invalid answer,Invalid answer,Completely agree,Invalid answer,Completely disagree,Invalid answer,Yes,Yes,Yes,Invalid answer,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Always justifiable,Always justifiable,Never justifiable,Never justifiable,Never justifiable,Always justifiable,Always justifiable,Never justifiable,Not often,Fairly often,Fairly often,Very often,Fairly often,Fairly often,Fairly often,Not often,Fairly often,Rather important,Very bad,Fairly good,Very good,Very bad,An essential characteristic of democracy,Not an essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Invalid answer
Hindi,Married,Male,Rural,IN-BR Bihar,25-34,Middle,Lower middle class,Rather important,Very important,Not at all important,Very important,Rather important,Don't know,Not mentioned,Don't know,Not mentioned,Don't know,Don't know,Don't know,Important,Agree,Strongly disagree,Agree,Agree,Agree,Agree strongly,Disagree strongly,Disagree,Agree,Agree strongly,Agree,Agree strongly,Agree,Agree strongly,Our present society must be valiantly defended against all subversive forces,Bad thing,Good thing,Don't mind,Do not trust at all,Trust somewhat,Trust completely,Trust somewhat,Trust completely,No answer,No answer,No answer,No answer,Not very much,Quite a lot,Quite a lot,Quite a lot,A great deal,Quite a lot,Quite a lot,A great deal,Quite a lot,Not very much,Not very much,Quite a lot,Not very much,None at all,Quite a lot,A great deal,Quite a lot,Not very much,Invalid answer,Incomes should be made more equal,Government ownership of business and industry should be increased,Government should take more responsibility to ensure that everyone is provided for,"In the long run, hard work usually brings a better life",No answer,No answer,No answer,No answer,No answer,No answer,No answer,Disagree,Hard to say,Hard to say,A good deal,Very much,Freedom,Security,Yes,Invalid answer,Invalid answer,Completely agree,Invalid answer,Completely disagree,Invalid answer,Yes,Yes,Yes,Invalid answer,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Always justifiable,Always justifiable,Always justifiable,Never justifiable,Not often,Fairly often,Fairly often,Very often,Fairly often,Fairly often,Fairly often,Not often,Not at all often,Not at all important,Fairly good,Fairly good,Very good,Very bad,An essential characteristic of democracy,Not an essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Invalid answer
Hindi,Single,Male,Rural,IN-BR Bihar,25-34,Higher,Lower middle class,Rather important,Very important,Not at all important,Very important,Rather important,Don't know,Not mentioned,Don't know,Not mentioned,Don't know,Don't know,Don't know,Important,Agree,Strongly disagree,Agree,Agree,Agree,Agree strongly,Disagree strongly,Disagree,Agree,Agree strongly,Agree,Agree strongly,Agree,Agree strongly,Our present society must be valiantly defended against all subversive forces,Bad thing,Good thing,Don't mind,Do not trust at all,Do not trust at all,Trust completely,Trust somewhat,Do not trust very much,Do not trust very much,Quite a lot,Not very much,Quite a lot,Not very much,Quite a lot,Quite a lot,Quite a lot,A great deal,Quite a lot,Quite a lot,A great deal,Quite a lot,Not very much,Not very much,Quite a lot,Not very much,None at all,Quite a lot,A great deal,Quite a lot,Not very much,Invalid answer,Incomes should be made more equal,Government ownership of business and industry should be increased,Government should take more responsibility to ensure that everyone is provided for,"In the long run, hard work usually brings a better life",No answer,No answer,No answer,No answer,No answer,No answer,No answer,Disagree,Hard to say,Hard to say,A good deal,Very much,Equality,Freedom,No,Invalid answer,Completely agree,Completely agree,Invalid answer,Completely disagree,Invalid answer,Yes,Yes,Yes,Invalid answer,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Always justifiable,Always justifiable,Never justifiable,Never justifiable,Always justifiable,Always justifiable,Always justifiable,Never justifiable,Not often,Fairly often,Fairly often,Very often,Fairly often,Fairly often,Fairly often,Not often,Not at all often,Not at all important,Fairly good,Fairly good,Very good,Very bad,An essential characteristic of democracy,Not an essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Invalid answer
Hindi,Married,Male,Rural,IN-BR Bihar,35-44,Middle,Lower middle class,Rather important,Very important,Not at all important,Very important,Rather important,Don't know,Not mentioned,Don't know,Not mentioned,Don't know,Don't know,Invalid answer,Important,Don't know,Agree,Strongly disagree,Agree,Strongly disagree,Agree strongly,Disagree strongly,Disagree,Agree,Agree strongly,Agree,Agree strongly,Agree,Agree strongly,Our present society must be valiantly defended against all subversive forces,Bad thing,Good thing,Don't mind,Don't know,Do not trust at all,Trust somewhat,Do not trust very much,Do not trust at all,Do not trust at all,Quite a lot,Not very much,Quite a lot,Not very much,Quite a lot,Quite a lot,Quite a lot,A great deal,Quite a lot,Quite a lot,A great deal,Quite a lot,Not very much,Not very much,Quite a lot,Not very much,None at all,Quite a lot,A great deal,Quite a lot,Not very much,Invalid answer,Incomes should be made more equal,Government ownership of business and industry should be increased,Government should take more responsibility to ensure that everyone is provided for,"In the long run, hard work usually brings a better life",No answer,No answer,No answer,No answer,No answer,No answer,No answer,Disagree,Hard to say,Hard to say,A good deal,Very much,Freedom,Security,Yes,Invalid answer,Invalid answer,Completely agree,Invalid answer,Completely disagree,Invalid answer,Yes,Yes,Yes,Invalid answer,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Always justifiable,Always justifiable,Never justifiable,Always justifiable,Always justifiable,Always justifiable,Always justifiable,Never justifiable,Not often,Fairly often,Fairly often,Very often,Fairly often,Fairly often,Fairly often,Not often,Not at all often,Not at all important,Fairly good,Fairly good,Fairly bad,Very bad,An essential characteristic of democracy,Not an essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Invalid answer
